labels,x_dist,y_dist,prob_numb,punct,num_chars,filename
0,-0.133,-0.18990384,0.5054196,1.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.118,-0.20552884,0.4968969,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.1075,-0.010516827,0.50130117,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.019,0.27103364,0.20217966,0.0,0.5,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.00475,-0.38371393,0.053889286,0.0,0.7,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.02825,-0.14903846,0.24669164,0.0,0.9,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.0,0.0,0.046327785,0.0,0.5,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.018,0.34945914,0.0002481293,0.0,0.3,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.06175,-0.30438703,0.5613011,0.0,0.5,RC624_0442.23-0448.15_m_WET_cropped.png
1,0.111,0.09405048,0.25306743,1.0,0.5,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.0915,0.47866586,0.49958566,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.13225,-0.0060096155,0.00022073409,0.0,0.3,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.11725,-0.38852164,0.48813513,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.20675,-0.3846154,0.51701677,0.0,0.8,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.206,-0.15204327,0.1163181,0.0,0.3,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.21325,-0.005108173,0.00017014128,0.0,0.3,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.1455,0.47926682,0.38376096,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.0125,-0.18960336,0.21301776,0.0,0.7,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.00075,0.27584136,0.068395525,0.0,0.6,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.0,0.0,0.011647485,0.0,0.5,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.00175,-0.37770432,0.1336079,0.0,0.4,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.0215,0.3608774,0.29197165,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.05025,-0.111478366,0.6961846,0.0,0.6,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.037,-0.2794471,0.0019713112,0.0,0.4,RC624_0442.23-0448.15_m_WET_cropped.png
1,-0.00225,0.09765625,0.58285666,1.0,0.5,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.0275,0.35246393,0.026600037,0.0,0.6,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.0,0.0,0.48187682,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.06575,0.0015024039,4.6641828e-05,0.0,0.3,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.14325,0.48527643,0.45266175,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,0.29025,-0.4627404,0.4994776,0.0,0.2,RC624_0442.23-0448.15_m_WET_cropped.png
0,-0.0205,0.2721598,0.20015348,0.0,0.5,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.02925,-0.1488764,0.30461842,0.0,0.9,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.00625,-0.3823346,0.107356526,0.0,0.7,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.0,0.0,0.007849331,0.0,0.5,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.0235,0.3417603,0.008285338,0.0,0.3,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.06975,-0.31117353,0.6879016,0.0,0.5,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.04475,0.47971287,0.000851236,0.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
1,0.09725,0.086142324,0.58321637,1.0,0.5,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.1285,-0.008426966,0.00051212043,0.0,0.3,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.11475,-0.38982522,0.024524964,0.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.19675,-0.15667915,4.887703e-07,0.0,0.3,RC624_0571.86-0578.20_m_DRY_cropped.png
0,-0.19925,-0.38077402,0.50778866,0.0,0.8,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.216,0.47908863,0.3472147,0.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
0,-0.206,-0.0012484394,0.00045292868,0.0,0.3,RC624_0571.86-0578.20_m_DRY_cropped.png
0,-0.03125,0.335206,0.06699392,1.0,0.7,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.01175,-0.19069913,0.16266522,0.0,0.7,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.0,0.27652934,0.35733795,1.0,0.6,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.0,0.0,0.0063375905,0.0,0.5,RC624_0571.86-0578.20_m_DRY_cropped.png
0,-0.00475,-0.12484395,0.8497766,0.0,0.3,RC624_0571.86-0578.20_m_DRY_cropped.png
0,-0.0025,-0.3770287,0.23707189,0.0,0.4,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.0295,-0.30836454,0.14510058,0.0,0.4,RC624_0571.86-0578.20_m_DRY_cropped.png
1,-0.01725,0.101435706,0.2697497,1.0,0.5,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.03275,-0.119225964,0.366018,0.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.0,0.0,0.49351683,0.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.05475,-0.3258427,0.11607191,1.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.0645,0.0006242197,0.00029579288,0.0,0.3,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.07675,0.49219725,0.036203604,0.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
0,0.1245,-0.2977528,0.51181036,0.0,0.2,RC624_0571.86-0578.20_m_DRY_cropped.png
0,-0.0135,0.26862982,0.20651594,0.0,0.5,RC624_0571.86-0578.20_m_WET_cropped.png
0,-0.00425,-0.38070914,0.12672332,0.0,0.7,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.02625,-0.14783654,0.3508228,0.0,0.9,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.0,0.0,0.019430216,0.0,0.5,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.06375,-0.30949518,0.5842111,0.0,0.5,RC624_0571.86-0578.20_m_WET_cropped.png
0,-0.19625,-0.13371395,0.006947522,0.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
1,0.10225,0.085336536,0.5234871,1.0,0.5,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.10775,-0.38852164,0.016315982,0.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.1315,-0.008413462,1.5806045e-05,0.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.199,-0.14993991,0.33323023,0.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.22025,-0.38701922,0.6339813,0.0,0.8,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.0,0.0,0.009237979,0.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.22225,-0.009615385,0.003986039,0.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.4405,-0.19801682,0.1610408,0.0,0.7,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.42175,-0.38311297,0.21458933,0.0,0.4,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.4125,-0.008713942,2.1890246e-06,0.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.19625,0.0015024039,0.50000036,1.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.20875,-0.20522836,0.20545764,0.0,0.6,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.4255,-0.13221154,0.8868288,0.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.45725,-0.31460336,0.24253884,0.0,0.4,RC624_0571.86-0578.20_m_WET_cropped.png
1,0.28975,-0.38371393,0.25717363,1.0,0.5,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.46275,-0.012019231,0.026354471,1.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.34075,-0.14332932,0.02525324,0.0,0.5,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.566,-0.13100961,0.37511143,0.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.3095,-0.48227164,0.9487177,0.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.58475,-0.3374399,0.028019553,1.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.37125,-0.48347357,0.00020872065,0.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.65675,-0.30859375,0.50988424,0.0,0.2,RC624_0571.86-0578.20_m_WET_cropped.png
0,0.58075,0.0036057692,0.30409068,1.0,0.3,RC624_0571.86-0578.20_m_WET_cropped.png
0,-0.10425,0.1754386,0.4955402,0.0,0.2,RC624_0584.20-0590.20_m_WET_cropped.png
0,0.0205,-0.29678363,0.43095145,0.0,0.6,RC624_0584.20-0590.20_m_WET_cropped.png
0,-0.01875,0.27046785,0.19986704,0.0,0.5,RC624_0584.20-0590.20_m_WET_cropped.png
